commodity,date,title,description,source,text
basmati rice,2026-06-21 18:48:34+00:00,Basmati prices may fall 5–10% as Strait of Hormuz closure hits exports,"""After the interim (US-Iran) peace deal was announced, exporters started buying basmati rice in good quantities for shipment to the Middle East and prices surged 15-20%. But this sudden announcement will bring down prices,"" said Dev Garg, vice-president, Indi…",The Times of India,"Basmati prices may fall 5–10% as Strait of Hormuz closure hits exports ""After the interim (US-Iran) peace deal was announced, exporters started buying basmati rice in good quantities for shipment to the Middle East and prices surged 15-20%. But this sudden announcement will bring down prices,"" said Dev Garg, vice-president, Indi…"
basmati rice,2026-06-20 14:19:31+00:00,"Pick of BL commodities -June 21, 2026","With drought-bearing El Nino threatening the country and the South-West Monsoon playing truant, India will likely be helped by a record 122 million tonne of foodgrain reserves. A positive Indian Ocean Dipole is expected to emerge by July-end, but its impact w…",BusinessLine,"Pick of BL commodities -June 21, 2026 With drought-bearing El Nino threatening the country and the South-West Monsoon playing truant, India will likely be helped by a record 122 million tonne of foodgrain reserves. A positive Indian Ocean Dipole is expected to emerge by July-end, but its impact w…"
basmati rice,2026-06-19 16:00:25+00:00,The Reggie Dinkins Writers Can Always Find Room for Another Joke,Tracy Morgan was joined by the show creators and the writers behind ‘The Fall and Rise of Reggie Dinkins’ to receive the Roomy Award for their achievement in TV writing in a conversation at Vulture Festival at Tribeca Festival.,Vulture,The Reggie Dinkins Writers Can Always Find Room for Another Joke Tracy Morgan was joined by the show creators and the writers behind ‘The Fall and Rise of Reggie Dinkins’ to receive the Roomy Award for their achievement in TV writing in a conversation at Vulture Festival at Tribeca Festival.
basmati rice,2026-06-19 13:38:47+00:00,"Facing African hurdles, Indian rice exports value down 10% in FY26","Indian rice exports value declines 10% in FY26 due to African market challenges, despite a 6.5% volume increase.",BusinessLine,"Facing African hurdles, Indian rice exports value down 10% in FY26 Indian rice exports value declines 10% in FY26 due to African market challenges, despite a 6.5% volume increase."
basmati rice,2026-06-19 09:10:47+00:00,UPSC Quiz – 2026 : IASbaba’s Daily Current Affairs Quiz 19th June 2026,"For Previous Daily Quiz (ARCHIVES) – CLICK HERE The Current Affairs questions are based on sources like ‘The Hindu’, ‘Indian Express’ and ‘PIB’, which are very important sources for UPSC Prelims Exam. The questions are focused on both the concepts and facts. …",Iasbaba.com,"UPSC Quiz – 2026 : IASbaba’s Daily Current Affairs Quiz 19th June 2026 For Previous Daily Quiz (ARCHIVES) – CLICK HERE The Current Affairs questions are based on sources like ‘The Hindu’, ‘Indian Express’ and ‘PIB’, which are very important sources for UPSC Prelims Exam. The questions are focused on both the concepts and facts. …"
basmati rice,2026-06-18 17:50:36+00:00,VIDEO: Hilda Baci named Guinness World Records Icon,"Nigerian chef Hilda Baci has been named a Guinness World Records Icon, recognising her global impact and inspiration for record-breaking attempts. Learn mo

Read More: https://punchng.com/video-hilda-baci-named-guinness-world-records-icon/",The Punch,"VIDEO: Hilda Baci named Guinness World Records Icon Nigerian chef Hilda Baci has been named a Guinness World Records Icon, recognising her global impact and inspiration for record-breaking attempts. Learn mo

Read More: https://punchng.com/video-hilda-baci-named-guinness-world-records-icon/"
basmati rice,2026-06-18 15:28:03+00:00,"India’s agri export promotion shifting to value added products, niche markets","India's agri exports are diversifying, focusing on value-added products and niche markets for global competitiveness.",BusinessLine,"India’s agri export promotion shifting to value added products, niche markets India's agri exports are diversifying, focusing on value-added products and niche markets for global competitiveness."
basmati rice,2026-06-17 16:01:25+00:00,Pakistan duty drawback benefits may spoil India’s Basmati party,"Islamabad plans to extend duty drawback benefit for the fragrant rice export beyond June, when trade via Strait of Hormuz is set to normalise",BusinessLine,"Pakistan duty drawback benefits may spoil India’s Basmati party Islamabad plans to extend duty drawback benefit for the fragrant rice export beyond June, when trade via Strait of Hormuz is set to normalise"
basmati rice,2026-06-16 13:00:14+00:00,4 Important Rules To Know Before Visiting EPCOT’s UK Pavilion,There's more than meets the eye at EPCOT's U.K. Pavilion.,allears.net,4 Important Rules To Know Before Visiting EPCOT’s UK Pavilion There's more than meets the eye at EPCOT's U.K. Pavilion.
basmati rice,2026-06-16 12:19:27+00:00,India's rice stocks climb to record high; wheat inventories at five-year peak,"India's government warehouses hold record rice stocks, up 15% from last year. Wheat inventories are at a five-year peak. These abundant reserves will support increased rice exports. Higher wheat stocks will help manage prices by allowing open market sales. Re…",The Times of India,"India's rice stocks climb to record high; wheat inventories at five-year peak India's government warehouses hold record rice stocks, up 15% from last year. Wheat inventories are at a five-year peak. These abundant reserves will support increased rice exports. Higher wheat stocks will help manage prices by allowing open market sales. Re…"
